,type_of_intervention,data_start,date_end,locality,state,country,citation,entered_by,further_notes_comments,Unnamed: 9
689,GS_50,17-Mar,,toronto,Ontario,Canada,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Ontario,Brendan,As part of (Ontario) provincial-level state of emergency,
690,SOE,17-Mar,,toronto,Ontario,Canada,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Ontario,Brendan,"This included prohibition of all public events of over 50 people, closure of bars and restaurants (with the exception that restaurants may continue to provide takeout and delivery services) as well as libraries, theatres, cinemas, schools and daycares",
691,PC,14-Mar,,toronto,Ontario,Canada,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Ontario,Brendan,Public schools closed following Friday March 13th,
693,CPV,17-Mar,,toronto,Ontario,Canada,https://toronto.citynews.ca/2020/03/17/coronavirus-what-remains-open-during-a-state-of-emergency/,Brendan,As part of (Ontario) provincial-level state of emergency,
694,TR_World(ExceptUS),18-Mar,,toronto,Ontario,Canada,https://nationalpost.com/news/canada/trudeau-travel-restrictions-ban-coronavirus-covid19-canada,Brendan,"All international visitors to Canada will be turned around at the airport, with the exception of Americans, diplomats and flight crews.",
695,NESC,17-Mar,,toronto,Ontario,Canada,https://www.toronto.ca/home/covid-19/,Brendan,As part of (Ontario) provincial-level state of emergency,
649,LD,3/8/2020,4/3/2020,"venice,_padua",Veneto,Italy,https://www.gazzettaufficiale.it/eli/id/2020/03/08/20A01522/sg,Andrea,"Citizens in northern Italy need special permission to travel. closure of schools, gyms, museums, nightclubs and other venues.",
646,TR_china - Taiwan-HK-Macau,1/31/2020,4/28/2020,"venice,_padua",Veneto,Italy,https://www.bloomberg.com/news/articles/2020-02-10/italy-s-hopes-for-closer-china-ties-hit-by-virus-flight-ban-rift,Andrea,Italy was the first European Union member to impose travel restrictions to China,
650,LD,3/9/2020,4/3/2020,"venice,_padua",Veneto,Italy,http://www.governo.it/it/articolo/firmato-il-dpcm-9-marzo-2020/14276#,Andrea,Italian Government extends lockdown and travel restrictions to entire italian territory,
651,NESC,3/12/2020,3/25/2020,"venice,_padua",Veneto,Italy,http://www.governo.it/it/articolo/coronavirus-conte-firma-il-dpcm-11-marzo-2020/14299,Andrea,"Italy ordered the nationwide closure of all restaurants and bars, along with most stores and commercial activities",
652,NESC,3/23/2020,4/3/2020,"venice,_padua",Veneto,Italy,http://www.governo.it/it/articolo/coronavirus-firmato-il-dpcm-22-marzo-2020/14363,Andrea,the Italian government extends previous decree and further closed all non-essential businesses and industries,
228,PC,3/9/2020,3/10/2020,washington_dc,DC,USA,https://coronavirus.dc.gov/release/school-without-walls-high-school-close-monday-march-9,Carina,One specific school closed for one day due to exposure,
229,HQ,3/9/2020,,washington_dc,DC,USA,https://coronavirus.dc.gov/release/dc-health-statement-regarding-christ-church,Carina,Self-isolation required for those who had been to a specific church where there was exposure,
230,GS_1000,3/11/2020,4/1/2020,washington_dc,DC,USA,https://coronavirus.dc.gov/release/dc-health-advisory,Carina,Prohibited gatherings with >1000 people,
231,PC,3/16/2020,3/17/2020,washington_dc,DC,USA,https://coronavirus.dc.gov/release/dc-public-schools-schedule-change-%E2%80%93-week-march-16,Carina,Schools closed just for one day,
